item,expected_locked,observed,absolute_difference,status
roc_auc,0.954338717321296,0.954338717321296,0.0,PASS
pr_auc_average_precision,0.9600421857409934,0.9600421857409934,0.0,PASS
accuracy,0.88885498046875,0.88885498046875,0.0,PASS
positive_f1,0.8833962989050393,0.8833962989050393,0.0,PASS
weighted_f1,0.8886130938155858,0.8886130938155858,0.0,PASS
balanced_accuracy,0.8888351416324152,0.8888351416324152,0.0,PASS
sensitivity_recall_positive,0.8424009281309153,0.8424009281309153,0.0,PASS
specificity_recall_negative,0.935269355133915,0.935269355133915,0.0,PASS
weighted_precision,0.8922267031198469,0.8922267031198469,0.0,PASS
weighted_recall,0.88885498046875,0.88885498046875,0.0,PASS
macro_f1,0.8886108659122014,0.8886108659122014,0.0,PASS
brier,0.10202052090992542,0.10202052090992542,0.0,PASS
ece,0.09503302834076521,0.09503303815938736,9.818622151436251e-09,PASS
matthews_corrcoef,0.7810699414608782,0.7810699414608782,0.0,PASS
cohen_kappa,0.7777011090783587,0.7777011090783587,0.0,PASS
nll_log_loss,0.3442876274431107,0.34428762744311076,5.551115123125783e-17,PASS
tp,13796.0,13796.0,0.0,PASS
tn,15330.0,15330.0,0.0,PASS
fp,1061.0,1061.0,0.0,PASS
fn,2581.0,2581.0,0.0,PASS
n_total,32768.0,32768.0,0.0,PASS
n_positive,16377.0,16377.0,0.0,PASS
n_negative,16391.0,16391.0,0.0,PASS

