baseline,metric,patheom_point,baseline_point,difference_patheom_minus_baseline,ci_level,ci_lower,ci_upper,ci_excludes_zero,direction
resnet18,roc_auc,0.954338717321296,0.9362279693602417,0.018110747961054385,0.95,0.016110370641232042,0.019972838288803037,True,PathEOM_higher_is_better
resnet18,pr_auc,0.9600421857409934,0.9390336863817106,0.02100849935928284,0.95,0.0189959452698584,0.02287608906816275,True,PathEOM_higher_is_better
resnet18,accuracy,0.88885498046875,0.847137451171875,0.041717529296875,0.95,0.0380859375,0.045318603515625,True,PathEOM_higher_is_better
resnet18,balanced_accuracy,0.8888351416324152,0.8471033796968519,0.04173176193556327,0.95,0.03810103523340338,0.045332712293799544,True,PathEOM_higher_is_better
resnet18,positive_f1,0.8833962989050393,0.8338254321069568,0.049570866798082536,0.95,0.0453574584529767,0.053575129924070215,True,PathEOM_higher_is_better
resnet18,weighted_f1,0.8886130938155858,0.8461554015638028,0.042457692251783086,0.95,0.038785820082549806,0.04608662595393021,True,PathEOM_higher_is_better
resnet18,sensitivity,0.8424009281309153,0.7673566587287048,0.07504426940221043,0.95,0.06930451242596325,0.08090614886731384,True,PathEOM_higher_is_better
resnet18,specificity,0.935269355133915,0.9268501006649991,0.008419254468915893,0.95,0.004148618144103497,0.012750899884082734,True,PathEOM_higher_is_better
resnet18,mcc,0.7810699414608782,0.7032426441642671,0.07782729729661109,0.95,0.07056892151311481,0.08497116173681799,True,PathEOM_higher_is_better


